dealer_name,filename2,filename,shape,Part number,Part description,Part category,Status,Quality,On stock,Price ex tax,Packaged quantity,Max order quantity
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352NLP,LCD touchscreen incl. Battery - Breathing Crystal;Huawei P30,Display,"Leverbaar, alleen uit voorraad",Original,5,58.66,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352NLQ,LCD touchscreen incl. Battery - Amber Sunrise;Huawei P30,Display,"Leverbaar, alleen uit voorraad",Original,7,72.42,1,2
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352NMM,"Rear cover - Black, Huawei P30",Housing,"Leverbaar, alleen uit voorraad",Original,8,11.0,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352NMN,"Rear cover - Blue, Huawei P30",Housing,"Leverbaar, alleen uit voorraad",Original,25+,11.61,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352NMP,"Rear cover - Purple, Huawei P30",Housing,"Leverbaar, alleen uit voorraad",Original,8,19.68,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352PAV,"Daughterboard, Huawei P30 Pro ",Connector,"Leverbaar, alleen uit voorraad",Original,25+,4.12,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352PBU,"Rear cover - Black, Huawei P30 Pro",Housing,"Leverbaar, alleen uit voorraad",Original,25+,38.17,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352PGF,"LCD Touchscreen incl. Battery - Pearl White, Huawei P30 Pro",Display,"Leverbaar, alleen uit voorraad",Original,1,193.73,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352PGL,"Rear cover - Blue, Huawei P30 Pro",Housing,"Leverbaar, alleen uit voorraad",Original,25+,26.27,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352PGM,"Rear cover - Purple, Huawei P30 Pro",Housing,"Leverbaar, alleen uit voorraad",Original,25+,17.85,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352PJM,"LCD touchscreen incl. Battery - Black, Huawei P30 Lite New Edition (MAR-LX1M 2020)_x000D_
(24MP Rearcamera)",Display,"Leverbaar, alleen uit voorraad",Original,4,34.55,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352PJN,"LCD touchscreen incl. Battery - White, Huawei P30 Lite New Edition (MAR-LX1M 2020)_x000D_
(24MP Rearcamera)",Display,"Leverbaar, alleen uit voorraad",Original,4,33.14,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352PJP,"LCD touchscreen incl. Battery - Blue, Huawei P30 Lite New Edition (MAR-LX1M 2020)_x000D_
(24MP Rearcamera)",Display,"Leverbaar, alleen uit voorraad",Original,25,34.85,1,5
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352PLS,"Rear cover - Red, Huawei P30 Pro",Housing,"Leverbaar, alleen uit voorraad",Original,7,38.44,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352PMD,"Daughterboard, Huawei P30 Lite",Connector,"Leverbaar, alleen uit voorraad",Original,17,5.7,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352PSK,"Rear Cover - Blue, Huawei P Smart Plus_x000D_
",Housing,"Leverbaar, alleen uit voorraad",Original,1,15.86,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352QMY,"Backcover - Black, Huawei Honor 20 Lite",Housing,"Leverbaar, alleen uit voorraad",Original,2,20.94,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352QNA,"Backcover - Red, Huawei Honor 20 Lite",Housing,"Leverbaar, alleen uit voorraad",Original,2,17.11,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352QNB,"Backcover - Blue, Huawei Honor 20 Lite",Housing,"Leverbaar, alleen uit voorraad",Original,3,23.54,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352QNW,"LCD touchscreen incl. Battery - Black, Huawei Y5 2019 ",Display,"Leverbaar, alleen uit voorraad",Original,7,70.79,1,2
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352RPV,"Backcover - Midnight Black, Huawei P30 Lite (2019)/P30 Lite New Edition (2020)_x000D_
",Housing,"Leverbaar, alleen uit voorraad",Original,3,8.87,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352RPW,"LCD touchscreen incl. Battery - Black, Huawei P30 Lite (2019 MAR-LX1A)",Display,"Leverbaar, alleen uit voorraad",Original,25+,45.29,1,25
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352RPY,"Rear Cover - Blue, Huawei P30 Lite",Housing,"Leverbaar, alleen uit voorraad",Original,25+,8.55,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352RQA,"LCD touchscreen incl. Battery - Blue, Huawei P30 Lite (2019 MAR-LX1A)",Display,"Leverbaar, alleen uit voorraad",Original,25+,38.3,1,10
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352RQB,"Rear Cover - White, Huawei P30 Lite",Housing,"Leverbaar, alleen uit voorraad",Original,21,9.16,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352RQC,"LCD touchscreen incl. Battery - White, Huawei P30 Lite (2019 MAR-LX1A)",Display,"Leverbaar, alleen uit voorraad",Original,25+,38.58,1,5
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352RRF,"LCD Touchscreen incl. Battery - Black, Huawei P Smart Z",Display,"Leverbaar, alleen uit voorraad",Original,7,58.99,1,2
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352RRN,"Daughterboard, Huawei P Smart Z",USB connector,"Leverbaar, alleen uit voorraad",Original,2,22.07,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352RXU,"LCD Touchscreen incl. Battery - Blue, Huawei P Smart Z",Display,"Leverbaar, alleen uit voorraad",Original,4,58.66,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352TMU,"LCD touchscreen incl. Battery - Black, Huawei Honor 20 / Nova 5T",Display,"Leverbaar, alleen uit voorraad",Original,23,55.11,1,5
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352TMY,"Loudspeaker, Huawei Honor 20",Audio/speaker,"Leverbaar, alleen uit voorraad",Original,1,1.82,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352TNQ,"LCD Touchscreen incl. Battery - Saphire Blue, Huawei Honor 20 / Nova 5T",Display,"Leverbaar, alleen uit voorraad",Original,20,50.09,1,5
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352TTT,"Daughterboard, Huawei Honor 20",USB connector,"Leverbaar, alleen uit voorraad",Original,4,5.7,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352TXL,"Backcover - Saphire Blue, Huawei Honor 20",Housing,"Leverbaar, alleen uit voorraad",Original,6,13.87,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352VBG,"LCD touchscreen incl. Battery - Breathing Crystal, Huawei P30 Lite",Display,"Leverbaar, alleen uit voorraad",Original,10,44.17,1,2
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352VBH,"Rear Cover - Breathing Crystal, Huawei P30 Lite / P30 Lite New Edition",Housing,"Leverbaar, alleen uit voorraad",Original,25,8.55,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352VKJ,"LCD Touchscreen incl. Battery - Black, Huawei Honor 20 Pro",Display,"Leverbaar, alleen uit voorraad",Original,10,68.13,1,2
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352VKL,"LCD Touchscreen incl. Battery - Blue, Huawei Honor 20 Pro",Display,"Leverbaar, alleen uit voorraad",Original,7,56.51,1,2
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352VKN,"LCD Touchscreen incl. Battery - Icelandic Frost, Huawei Honor 20 Pro",Display,"Leverbaar, alleen uit voorraad",Original,4,46.06,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352VKS,"Daughterboard, Huawei Honor 20 Pro",USB connector,"Leverbaar, alleen uit voorraad",Original,2,6.5,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352VKU,"Backcover - Black -Purple, Huawei Honor 20 Pro",Housing,"Leverbaar, alleen uit voorraad",Original,11,16.62,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352VKV,"Backcover - Blue, Huawei Honor 20 Pro",Housing,"Leverbaar, alleen uit voorraad",Original,11,13.75,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352XLR,"Backcover - Icelandic Frost, Huawei Honor 20 Pro",Housing,"Leverbaar, alleen uit voorraad",Original,3,16.38,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352YLP,"LCD Touchscreen - Midnight Black, Huawei P Smart Pro (2019)",Display,"Leverbaar, alleen uit voorraad",Original,1,155.26,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02353DGH,"Rear cover -Mystic Blue, Huawei P30 Pro",Housing,"Leverbaar, alleen uit voorraad",Original,19,31.0,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02353EBH,"LCD touchscreen incl. Battery - Purple, Huawei Honor 20 / Nova 5T",Display,"Leverbaar, alleen uit voorraad",Original,18,63.36,1,5
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02353EBK,"Rear cover - Purple, Huawei Nova 5T",Housing,"Leverbaar, alleen uit voorraad",Original,2,15.89,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02353EEG,"LCD Touchscreen incl. Battery - Silver, Huawei Mate 30_x000D_
",Display,"Leverbaar, alleen uit voorraad",Original,1,124.23,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02353EFN,"Rear cover - Black, Huawei Nova 5T",Housing,"Leverbaar, alleen uit voorraad",Original,18,10.96,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02353EKT,"Rear Camera 40MP + 8MP + 40MP + TOF 3D, Huawei Mate 30 Pro ",Camera,"Leverbaar, alleen uit voorraad",Original,2,106.48,1,0
