dealer_name,filename2,filename,shape,Part number,Part description,Part category,Status,Quality,On stock,Price ex tax,Packaged quantity,Max order quantity
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",460200003J1G,"Battery, Xiaomi Poco X3_x000D_
",Battery,"Leverbaar, alleen uit voorraad",Original,10,20.8,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",460200003P1G,"Battery, Xiaomi Redmi 9",Battery,"Leverbaar, alleen uit voorraad",Original,25+,13.77,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",46020000425D,"Battery, Xiaomi Redmi 9A_x000D_
",Battery,"Leverbaar, alleen uit voorraad",Original,11,17.21,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",460200004Z5Z,"Battery, Xiaomi Mi 11",Battery,"Leverbaar, alleen uit voorraad",Original,1,23.4,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",46020000521G,"Battery, Xiaomi Poco M3",Battery,"Leverbaar, alleen uit voorraad",Original,15,15.38,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",460200005B5S,"Battery, Xiaomi Poco F3/Mi 11X Pro",Battery,"Leverbaar, alleen uit voorraad",Original,14,19.5,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",46020000645Z,"Battery, Xiaomi Redmi Note 10/Note 10S",Battery,"Leverbaar, alleen uit voorraad",Original,5,21.0,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",460200006L5Z,"Battery, Xiaomi Redmi Note 10 5G",Battery,"Leverbaar, alleen uit voorraad",Original,7,19.5,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",46020000741Y,"Battery, Xiaomi Mi 11 Lite 4G/Mi 11 Lite 5G",Battery,"Leverbaar, alleen uit voorraad",Original,18,19.5,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",460200007R1G,"Battery, Xiaomi Mi 11T Pro",Battery,"Leverbaar, alleen uit voorraad",Original,13,21.32,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",460200009U1Y,"Battery, Xiaomi Redmi Note 11",Battery,"Leverbaar, alleen uit voorraad",Original,8,20.8,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",46BM4FA02093,"Battery, Xiaomi Mi 9 Lite",Battery,"Leverbaar, alleen uit voorraad",Original,4,10.88,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",46BM4FA04193,"Battery, Xiaomi Mi A3",Battery,"Leverbaar, alleen uit voorraad",Original,10,18.75,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",46BN37W02093,"Battery, Xiaomi Redmi 6 / 6A",Battery,"Leverbaar, alleen uit voorraad",Original,3,15.8,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",46BN45A03093,"Battery, Xiaomi Redmi Note 5",Battery,"Leverbaar, alleen uit voorraad",Original,25+,8.63,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",46BN48G03014,"Battery, Xiaomi Redmi Note 6 Pro",Battery,"Leverbaar, alleen uit voorraad",Original,7,8.48,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",47040000061D,"Charger - White/Gray, Xiaomi Mi Note 10 Lite / Redmi Note 9 Pro / Poco F2 Pro (EU) - MDY-11-EZ 33W_x000D_
",Oplader / AC-Adapter,"Leverbaar, alleen uit voorraad",Original,25+,7.53,1,0
